titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster
呪術廻戦 第2期,Jujutsu Kaisen 2nd Season,JUJUTSU KAISEN Season 2,2023-07-06,2023,SUMMER 2023,2,23.0,MAPPA,Action | Drama | Supernatural,Shounen,TV,FINISHED,454370,86.0,86.0,15.0,10.0,12.0,8.0,13.0,11.6,True,4
葬送のフリーレン,Sousou no Frieren,Frieren: Beyond Journey’s End,2023-09-29,2023,FALL 2023,2,28.0,MADHOUSE,Adventure | Drama | Fantasy,Shounen,TV,FINISHED,434823,91.0,91.0,0.0,3.0,0.0,0.0,0.0,0.6,False,4
俺だけレベルアップな件,Ore dake Level Up na Ken,Solo Leveling,2024-01-07,2024,WINTER 2024,2,12.0,A-1 Pictures,Action | Adventure | Fantasy,Unknown,TV,FINISHED,408254,81.0,81.0,14.0,16.0,17.0,14.0,12.0,14.6,True,4
ダンダダン,Dandadan,DAN DA DAN,2024-10-04,2024,FALL 2024,2,12.0,Science SARU,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,Shounen,TV,FINISHED,352133,83.0,83.0,39.0,20.0,14.0,43.0,19.0,27.0,True,4
鬼滅の刃 刀鍛冶の里編,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,2023-04-09,2023,SPRING 2023,2,11.0,ufotable,Action | Adventure | Drama | Fantasy | Supernatural,Shounen,TV,FINISHED,348988,81.0,81.0,0.0,2.0,0.0,0.0,0.0,0.4,False,4
地獄楽,Jigokuraku,Hell’s Paradise,2023-04-01,2023,SPRING 2023,2,13.0,MAPPA,Action | Adventure | Mystery | Supernatural,Shounen,TV,FINISHED,335032,80.0,80.0,0.0,8.0,0.0,0.0,0.0,1.6,False,4
【推しの子】,[Oshi no Ko],Oshi No Ko,2023-04-12,2023,SPRING 2023,2,11.0,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,309140,84.0,84.0,14.0,11.0,12.0,15.0,8.0,12.0,True,4
薬屋のひとりごと,Kusuriya no Hitorigoto,The Apothecary Diaries,2023-10-22,2023,FALL 2023,2,24.0,OLM | TOHO animation STUDIO,Drama | Mystery,Seinen,TV,FINISHED,290856,88.0,88.0,21.0,25.0,26.0,11.0,26.0,21.8,True,4
俺だけレベルアップな件 Season 2 -Arise from the Shadow-,Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,Solo Leveling Season 2 -Arise from the Shadow-,2025-01-05,2025,WINTER 2025,1,13.0,A-1 Pictures,Action | Adventure | Fantasy,Shounen,TV,FINISHED,279242,85.0,85.0,,,,,,,False,4
マッシュル-MASHLE-,MASHLE,MASHLE: MAGIC AND MUSCLES,2023-04-08,2023,SPRING 2023,2,12.0,A-1 Pictures,Action | Comedy | Fantasy,Shounen,TV,FINISHED,267953,76.0,76.0,13.0,23.0,8.0,5.0,9.0,11.6,True,4
怪獣８号,Kaijuu 8-gou,Kaiju No. 8,2024-04-13,2024,SPRING 2024,2,12.0,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,260542,81.0,81.0,14.0,14.0,8.0,11.0,9.0,11.2,True,4
ヴィンランド・サガ SEASON2,VINLAND SAGA SEASON 2,Vinland Saga Season 2,2023-01-10,2023,WINTER 2023,1,24.0,MAPPA,Action | Adventure | Drama,Seinen,TV,FINISHED,255621,88.0,88.0,3.0,8.0,8.0,1.0,9.0,5.8,False,4
鬼滅の刃 柱稽古編,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,2024-05-12,2024,SPRING 2024,1,8.0,ufotable,Action | Adventure | Drama | Fantasy | Supernatural,Shounen,TV,FINISHED,253302,80.0,80.0,0.0,2.0,0.0,0.0,1.0,0.6,False,4
無職転生Ⅱ ～異世界行ったら本気だす～,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,2023-07-03,2023,SUMMER 2023,2,13.0,Studio Bind,Adventure | Drama | Ecchi | Fantasy,Unknown,TV,FINISHED,237310,81.0,81.0,0.0,7.0,0.0,0.0,0.0,1.4,False,4
ゾン100～ゾンビになるまでにしたい100のこと～,Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,2023-07-09,2023,SUMMER 2023,1,12.0,BUG FILMS,Action | Adventure | Comedy | Horror | Supernatural,Seinen,TV,FINISHED,225547,76.0,76.0,2.0,7.0,4.0,0.0,2.0,3.0,False,4
ガチアクタ,Gachiakuta,Gachiakuta,2025-07-06,2025,SUMMER 2025,2,24.0,bones film,Action | Drama | Fantasy,Shounen,TV,FINISHED,222656,82.0,82.0,14.0,15.0,16.0,13.0,12.0,14.0,True,4
SPY×FAMILY Season 2,SPY×FAMILY Season 2,SPY x FAMILY Season 2,2023-10-07,2023,FALL 2023,2,12.0,WIT STUDIO | CloverWorks,Action | Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,222206,80.0,80.0,4.0,10.0,10.0,1.0,6.0,6.2,False,4
呪術廻戦 死滅回游 前編,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,JUJUTSU KAISEN Season 3: The Culling Game Part 1,2026-01-09,2026,WINTER 2026,1,12.0,MAPPA,Action | Drama | Supernatural,Shounen,TV,FINISHED,220340,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4
ダンジョン飯,Dungeon Meshi,Delicious in Dungeon,2024-01-04,2024,WINTER 2024,2,24.0,TRIGGER,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,208156,85.0,85.0,7.0,21.0,21.0,0.0,16.0,13.0,True,4
ダンダダン 第2期,Dandadan 2nd Season,DAN DA DAN Season 2,2025-07-04,2025,SUMMER 2025,2,12.0,Science SARU,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,Shounen,TV,FINISHED,205168,83.0,83.0,0.0,7.0,5.0,0.0,0.0,2.4,False,4
SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,2025-01-11,2025,WINTER 2025,2,11.0,TMS Entertainment,Action | Comedy,Shounen,ONA,FINISHED,201061,76.0,76.0,7.0,9.0,10.0,6.0,8.0,8.0,False,4
天国大魔境,Tengoku Daimakyou,Tengoku Daimakyo,2023-04-01,2023,SPRING 2023,1,13.0,Production I.G,Adventure | Mystery | Sci-Fi | Thriller,Seinen,TV,FINISHED,200674,81.0,81.0,4.0,7.0,1.0,1.0,6.0,3.8,False,4
葬送のフリーレン 第2期,Sousou no Frieren 2nd Season,Frieren: Beyond Journey’s End Season 2,2026-01-16,2026,WINTER 2026,2,10.0,MADHOUSE,Adventure | Drama | Fantasy,Shounen,TV,FINISHED,193055,88.0,88.0,0.0,0.0,1.0,0.0,0.0,0.2,False,4
Dr.STONE NEW WORLD,Dr. STONE: NEW WORLD,Dr. STONE New World,2023-04-06,2023,SPRING 2023,2,11.0,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,189495,81.0,81.0,0.0,1.0,0.0,0.0,1.0,0.4,False,4
山田くんとLv999の恋をする,Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,2023-04-02,2023,SPRING 2023,1,13.0,MADHOUSE,Comedy | Drama | Romance,Shoujo,TV,FINISHED,188046,77.0,77.0,1.0,27.0,5.0,1.0,2.0,7.2,True,4
無職転生Ⅱ ～異世界行ったら本気だす～ 第2クール,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,2024-04-08,2024,SPRING 2024,2,12.0,Studio Bind,Adventure | Drama | Ecchi | Fantasy,Unknown,TV,FINISHED,184072,83.0,83.0,0.0,1.0,0.0,0.0,0.0,0.2,False,4
時々ボソッとロシア語でデレる隣のアーリャさん,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,2024-07-03,2024,SUMMER 2024,2,12.0,Doga Kobo,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,182369,75.0,75.0,14.0,18.0,11.0,7.0,10.0,12.0,True,4
薬屋のひとりごと 第2期,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,2025-01-10,2025,WINTER 2025,2,24.0,TOHO animation STUDIO | OLM,Drama | Mystery,Seinen,TV,FINISHED,180287,88.0,88.0,1.0,16.0,11.0,0.0,3.0,6.2,True,4
薫る花は凛と咲く,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,2025-07-06,2025,SUMMER 2025,1,13.0,CloverWorks,Comedy | Drama | Romance,Shounen,TV,FINISHED,179647,85.0,85.0,4.0,9.0,8.0,2.0,10.0,6.6,False,4
陰の実力者になりたくて！ 2nd season,Kage no Jitsuryokusha ni Naritakute! 2nd season,The Eminence in Shadow Season 2,2023-10-04,2023,FALL 2023,1,12.0,Nexus,Action | Comedy | Fantasy,Seinen,TV,FINISHED,178948,82.0,82.0,1.0,12.0,5.0,0.0,5.0,4.6,True,4
WIND BREAKER,WIND BREAKER,WIND BREAKER,2024-04-05,2024,SPRING 2024,2,13.0,CloverWorks,Action | Comedy | Drama,Shounen,TV,FINISHED,176139,77.0,77.0,28.0,42.0,30.0,23.0,23.0,29.2,True,4
Re:ゼロから始める異世界生活 3rd season,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ZERO -Starting Life in Another World- Season 3,2024-10-02,2024,FALL 2024,2,16.0,WHITE FOX,Action | Adventure | Drama | Fantasy | Psychological | Romance | Thriller,Seinen,TV,FINISHED,173017,84.0,84.0,0.0,1.0,0.0,0.0,0.0,0.2,False,4
ようこそ実力至上主義の教室へ 3rd Season,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite Season 3,2024-01-03,2024,WINTER 2024,2,13.0,Lerche,Drama | Psychological,Unknown,TV,FINISHED,172930,78.0,78.0,1.0,10.0,4.0,0.0,4.0,3.8,False,4
シャングリラ・フロンティア,Shangri-La Frontier,Shangri-La Frontier,2023-10-01,2023,FALL 2023,2,25.0,C2C,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,169294,80.0,80.0,13.0,28.0,14.0,3.0,29.0,17.4,True,4
マッシュル-MASHLE- 神覚者候補選抜試験編,MASHLE: Kami Shinkakusha Kouho Senbatsu Shiken-hen,MASHLE: MAGIC AND MUSCLES Season 2,2024-01-06,2024,WINTER 2024,2,12.0,A-1 Pictures,Action | Comedy | Fantasy,Shounen,TV,FINISHED,168939,78.0,78.0,0.0,6.0,0.0,0.0,1.0,1.4,False,4
僕のヒーローアカデミア 7,Boku no Hero Academia 7,My Hero Academia Season 7,2024-05-04,2024,SPRING 2024,2,21.0,bones,Action | Adventure,Shounen,TV,FINISHED,168140,82.0,82.0,3.0,17.0,13.0,1.0,6.0,8.0,True,4
転生したらスライムだった件 第3期,Tensei Shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,2024-04-05,2024,SPRING 2024,2,24.0,8-bit,Action | Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,168089,78.0,78.0,0.0,19.0,4.0,0.0,2.0,5.0,True,4
この素晴らしい世界に祝福を！３,Kono Subarashii Sekai ni Shukufuku wo! 3,KONOSUBA -God's blessing on this wonderful world! 3,2024-04-10,2024,SPRING 2024,2,11.0,Drive,Action | Adventure | Comedy | Ecchi | Fantasy,Unknown,TV,FINISHED,167284,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4
その着せ替え人形は恋をする Season 2,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,2025-07-06,2025,SUMMER 2025,1,12.0,CloverWorks,Comedy | Ecchi | Romance | Slice of Life,Seinen,TV,FINISHED,167228,82.0,82.0,2.0,15.0,2.0,1.0,1.0,4.2,True,4
【推しの子】第2期,[Oshi no Ko] 2nd Season,Oshi no Ko Season 2,2024-07-03,2024,SUMMER 2024,2,13.0,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,165948,85.0,85.0,0.0,10.0,7.0,0.0,5.0,4.4,False,4
トモちゃんは女の子！,Tomo-chan wa Onnanoko!,Tomo-chan Is a Girl!,2023-01-05,2023,WINTER 2023,1,13.0,Lay-duce,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,161935,76.0,76.0,0.0,13.0,1.0,0.0,8.0,4.4,True,0
とんがり帽子のアトリエ,Tongari Boushi no Atelier,Witch Hat Atelier,2026-04-06,2026,SPRING 2026,1,13.0,BUG FILMS,Adventure | Drama | Fantasy,Seinen,ONA,RELEASING,158896,86.0,86.0,3.0,6.0,6.0,3.0,6.0,4.8,False,4
お隣の天使様にいつの間にか駄目人間にされていた件,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,2023-01-07,2023,WINTER 2023,2,12.0,project No.9,Romance | Slice of Life,Unknown,TV,FINISHED,154264,78.0,78.0,2.0,22.0,9.0,0.0,7.0,8.0,True,0
地獄楽 第二期,Jigokuraku 2nd Season,Hell’s Paradise Season 2,2026-01-11,2026,WINTER 2026,1,12.0,MAPPA,Action | Adventure | Mystery | Supernatural,Shounen,TV,FINISHED,152279,82.0,82.0,0.0,1.0,0.0,0.0,0.0,0.2,False,4
ホリミヤ -piece-,Horimiya: piece,Horimiya: The Missing Pieces,2023-07-01,2023,SUMMER 2023,1,13.0,CloverWorks,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,150647,81.0,81.0,1.0,6.0,0.0,0.0,1.0,1.6,False,0
杖と剣のウィストリア,Tsue to Tsurugi no Wistoria,Wistoria: Wand and Sword,2024-07-07,2024,SUMMER 2024,2,12.0,Actas | Bandai Namco Pictures,Action | Comedy | Drama | Fantasy,Shounen,TV,FINISHED,148358,79.0,79.0,5.0,10.0,9.0,3.0,10.0,7.4,False,0
僕の心のヤバイやつ,Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart,2023-04-02,2023,SPRING 2023,2,12.0,Shin-Ei Animation,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,147430,81.0,81.0,8.0,22.0,19.0,2.0,23.0,14.8,True,0
ワンパンマン３,One Punch Man 3,One-Punch Man Season 3,2025-10-12,2025,FALL 2025,2,12.0,J.C.STAFF,Action | Comedy | Sci-Fi | Supernatural,Seinen,TV,FINISHED,141276,50.0,50.0,0.0,2.0,1.0,0.0,0.0,0.6,False,0
盾の勇者の成り上がり Season 3,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,2023-10-06,2023,FALL 2023,2,12.0,Kinema Citrus,Action | Adventure | Fantasy,Unknown,TV,FINISHED,140806,70.0,71.0,0.0,12.0,1.0,0.0,4.0,3.4,True,0
怪獣８号 第２期,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,2025-07-19,2025,SUMMER 2025,1,11.0,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,140568,78.0,78.0,0.0,4.0,0.0,0.0,0.0,0.8,False,0
勇者刑に処す 懲罰勇者9004隊刑務記録,Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,Sentenced to Be a Hero,2026-01-03,2026,WINTER 2026,2,12.0,Studio KAI,Action | Drama | Fantasy,Seinen,TV,FINISHED,140364,81.0,81.0,2.0,2.0,2.0,2.0,2.0,2.0,False,0
かぐや様は告らせたい -ファーストキッスは終わらない-,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War -The First Kiss That Never Ends-,2023-04-01,2023,SPRING 2023,1,4.0,A-1 Pictures,Comedy | Psychological | Romance | Slice of Life,Seinen,TV,FINISHED,138470,87.0,87.0,,,,,,,False,0
異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",2023-04-04,2023,SPRING 2023,1,13.0,Millepensee,Action | Adventure | Fantasy | Romance,Unknown,TV,FINISHED,137344,63.0,63.0,1.0,5.0,2.0,0.0,2.0,2.0,False,0
東京リベンジャーズ 聖夜決戦編,Tokyo Revengers: Seiya Kessen-hen,Tokyo Revengers Season 2,2023-01-08,2023,WINTER 2023,2,13.0,LIDENFILMS,Action | Drama | Romance | Supernatural,Shounen,TV,FINISHED,135808,75.0,75.0,6.0,7.0,5.0,1.0,6.0,5.0,False,0
わたしの幸せな結婚,Watashi no Shiawase na Kekkon,My Happy Marriage,2023-07-05,2023,SUMMER 2023,1,12.0,Kinema Citrus,Drama | Romance | Supernatural,Shoujo,TV,FINISHED,133619,76.0,76.0,7.0,15.0,13.0,4.0,9.0,9.6,True,0
アオのハコ,Ao no Hako,Blue Box,2024-10-03,2024,FALL 2024,2,25.0,Telecom Animation Film,Romance | Slice of Life | Sports,Shounen,ONA,FINISHED,132227,81.0,81.0,23.0,13.0,43.0,18.0,38.0,27.0,True,0
魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～ Ⅱ,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",The Misfit of Demon King Academy Ⅱ: History's Strongest Demon King Reincarnates and Goes to School with His Descendants,2023-01-08,2023,WINTER 2023,2,12.0,SILVER LINK.,Action | Fantasy,Unknown,TV,FINISHED,130405,68.0,68.0,,,,,,,False,0
ブルーロック VS. U-20 JAPAN,Blue Lock VS. U-20 JAPAN,BLUE LOCK Season 2,2024-10-05,2024,FALL 2024,2,14.0,8-bit,Action | Drama | Sports,Shounen,TV,FINISHED,129190,75.0,75.0,3.0,15.0,9.0,0.0,6.0,6.6,True,0
BLEACH 千年血戦篇-訣別譚-,BLEACH: Sennen Kessen-hen - Ketsubetsu-tan,BLEACH: Thousand-Year Blood War - The Separation,2023-07-08,2023,SUMMER 2023,2,13.0,Studio Pierrot,Action | Adventure | Supernatural,Shounen,TV,FINISHED,128846,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
ゆびさきと恋々,Yubisaki to Renren,A Sign of Affection,2024-01-06,2024,WINTER 2024,1,12.0,Ajiado,Romance | Slice of Life,Shoujo,TV,FINISHED,128743,82.0,82.0,9.0,15.0,12.0,4.0,17.0,11.4,True,0
Dr.STONE NEW WORLD 第2クール,Dr. STONE: NEW WORLD Part 2,Dr. STONE New World Part 2,2023-10-12,2023,FALL 2023,2,11.0,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,127310,83.0,83.0,0.0,1.0,0.0,0.0,1.0,0.4,False,0
光が死んだ夏,Hikaru ga Shinda Natsu,The Summer Hikaru Died,2025-07-06,2025,SUMMER 2025,2,12.0,CygamesPictures,Horror | Mystery | Psychological | Supernatural | Thriller,Seinen,TV,FINISHED,125173,80.0,81.0,4.0,10.0,9.0,2.0,6.0,6.2,False,0
タコピーの原罪,Takopii no Genzai,Takopi's Original Sin,2025-06-28,2025,SUMMER 2025,1,6.0,ENISHIYA,Drama | Psychological | Sci-Fi,Unknown,ONA,FINISHED,125142,86.0,86.0,3.0,6.0,5.0,3.0,3.0,4.0,False,0
スキップとローファー,Skip to Loafer,Skip and Loafer,2023-04-04,2023,SPRING 2023,2,12.0,P.A.WORKS,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,124720,81.0,81.0,11.0,20.0,11.0,2.0,14.0,11.6,True,0
アンデッドアンラック,Undead Unluck,Undead Unluck,2023-10-07,2023,FALL 2023,1,24.0,david production,Action | Comedy | Sci-Fi | Supernatural,Shounen,TV,FINISHED,123648,76.0,77.0,14.0,14.0,14.0,10.0,10.0,12.4,True,0
負けヒロインが多すぎる！,Make Heroine ga Oosugiru!,Makeine: Too Many Losing Heroines!,2024-07-14,2024,SUMMER 2024,2,12.0,A-1 Pictures,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,120377,81.0,81.0,2.0,5.0,1.0,0.0,2.0,2.0,False,0
Buddy Daddies,Buddy Daddies,Buddy Daddies,2023-01-07,2023,WINTER 2023,1,12.0,P.A.WORKS,Action | Comedy | Drama | Slice of Life,Unknown,TV,FINISHED,120077,80.0,80.0,7.0,10.0,8.0,5.0,7.0,7.4,False,0
炎炎ノ消防隊 参ノ章,Enen no Shouboutai: San no Shou,Fire Force Season 3,2025-04-05,2025,SPRING 2025,2,12.0,david production,Action | Drama | Sci-Fi | Supernatural,Shounen,TV,FINISHED,119522,78.0,78.0,2.0,11.0,7.0,1.0,5.0,5.2,True,0
君のことが大大大大大好きな100人の彼女,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",2023-10-08,2023,FALL 2023,2,12.0,Bibury Animation Studios,Comedy | Ecchi | Romance,Seinen,TV,FINISHED,118779,76.0,76.0,1.0,13.0,1.0,0.0,4.0,3.8,True,0
SPY×FAMILY Season 3,SPY×FAMILY Season 3,SPY x FAMILY Season 3,2025-10-04,2025,FALL 2025,1,13.0,WIT STUDIO | CloverWorks,Action | Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,118444,82.0,82.0,2.0,19.0,15.0,0.0,5.0,8.2,True,0
この素晴らしい世界に爆焔を！,Kono Subarashii Sekai ni Bakuen wo!,KONOSUBA -An Explosion on This Wonderful World!,2023-04-06,2023,SPRING 2023,1,12.0,Drive,Adventure | Comedy | Fantasy,Seinen,TV,FINISHED,116966,74.0,74.0,0.0,2.0,0.0,0.0,0.0,0.4,False,0
神之塔 -Tower of God- 第2期,Kami no Tou: Tower of God 2nd Season,Tower of God Season 2,2024-07-07,2024,SUMMER 2024,1,26.0,The Answer Studio,Action | Adventure | Drama | Fantasy | Mystery,Unknown,TV,FINISHED,116391,66.0,66.0,1.0,8.0,7.0,0.0,5.0,4.2,False,0
NieR:Automata Ver1.1a,NieR:Automata Ver1.1a,NieR:Automata Ver1.1a,2023-01-08,2023,WINTER 2023,2,12.0,A-1 Pictures,Action | Drama | Fantasy | Mystery | Psychological | Sci-Fi,Unknown,TV,FINISHED,115966,73.0,73.0,3.0,4.0,0.0,0.0,0.0,1.4,False,0
治癒魔法の間違った使い方,Chiyu Mahou no Machigatta Tsukaikata,The Wrong Way to Use Healing Magic,2024-01-06,2024,WINTER 2024,2,13.0,Shin-Ei Animation | Studio Add,Action | Fantasy,Unknown,TV,FINISHED,115438,75.0,75.0,5.0,18.0,8.0,0.0,12.0,8.6,True,0
僕のヒーローアカデミア FINAL SEASON,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,2025-10-04,2025,FALL 2025,1,11.0,bones film,Action | Adventure,Shounen,TV,FINISHED,115416,87.0,87.0,0.0,9.0,3.0,0.0,2.0,2.8,False,0
凸变英雄X,Tu Bian Yingxiong X,To Be Hero X,2025-04-06,2025,,1,24.0,Paper Plane Animation Studio | Studio LAN | Pb Animation,Action | Drama | Mystery | Supernatural,Unknown,ONA,FINISHED,114915,85.0,85.0,7.0,11.0,9.0,5.0,9.0,8.2,True,0
ゴブリンスレイヤーⅡ,Goblin Slayer II,GOBLIN SLAYER II,2023-10-06,2023,FALL 2023,1,12.0,LIDENFILMS,Action | Adventure | Fantasy,Unknown,TV,FINISHED,113072,71.0,71.0,0.0,0.0,0.0,1.0,1.0,0.4,False,0
チ。-地球の運動について-,Chi. Chikyuu no Undou ni Tsuite,Orb: On the Movements of the Earth,2024-10-05,2024,FALL 2024,1,25.0,MADHOUSE,Drama,Seinen,TV,FINISHED,110996,86.0,86.0,1.0,15.0,5.0,0.0,2.0,4.6,True,0
とんでもスキルで異世界放浪メシ,Tondemo Skill de Isekai Hourou Meshi,Campfire Cooking in Another World with my Absurd Skill,2023-01-10,2023,WINTER 2023,2,12.0,MAPPA,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,109704,76.0,76.0,3.0,20.0,4.0,2.0,13.0,8.4,True,0
月が導く異世界道中 第二幕,Tsuki ga Michibiku Isekai Douchuu 2nd Season,TSUKIMICHI -Moonlit Fantasy- Season 2,2024-01-08,2024,WINTER 2024,2,25.0,J.C.STAFF,Action | Adventure | Comedy | Fantasy,Shounen,TV,FINISHED,109469,78.0,78.0,0.0,1.0,0.0,0.0,0.0,0.2,False,0
ラザロ,Lazarus,LAZARUS,2025-04-06,2025,SPRING 2025,1,13.0,MAPPA,Action | Sci-Fi | Thriller,Unknown,TV,FINISHED,106376,70.0,70.0,18.0,34.0,30.0,13.0,8.0,20.6,True,0
魔都精兵のスレイブ,Mato Seihei no Slave,Chained Soldier,2024-01-04,2024,WINTER 2024,2,12.0,Seven Arcs,Action | Adventure | Drama | Ecchi | Fantasy | Romance,Shounen,TV,FINISHED,104886,67.0,67.0,15.0,24.0,16.0,4.0,15.0,14.8,True,0
文豪ストレイドッグス 第4シーズン,Bungou Stray Dogs 4th Season,Bungo Stray Dogs 4,2023-01-04,2023,WINTER 2023,2,13.0,bones,Action | Comedy | Mystery | Supernatural,Seinen,TV,FINISHED,104282,84.0,84.0,0.0,4.0,0.0,0.0,4.0,1.6,False,0
ラグナクリムゾン,Ragna Crimson,Ragna Crimson,2023-10-01,2023,FALL 2023,1,24.0,SILVER LINK.,Action | Adventure | Fantasy | Mystery,Shounen,TV,FINISHED,104116,74.0,74.0,18.0,14.0,12.0,11.0,12.0,13.4,True,0
Dr.STONE SCIENCE FUTURE,Dr. STONE: SCIENCE FUTURE,Dr. STONE SCIENCE FUTURE,2025-01-09,2025,WINTER 2025,2,12.0,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,104115,82.0,82.0,,1.0,1.0,1.0,0.0,0.75,False,0
君は放課後インソムニア,Kimi wa Houkago Insomnia,Insomniacs After School,2023-04-11,2023,SPRING 2023,1,13.0,LIDENFILMS,Romance | Slice of Life,Seinen,TV,FINISHED,102530,80.0,80.0,3.0,23.0,5.0,0.0,6.0,7.4,True,0
BLEACH 千年血戦篇-相剋譚-,BLEACH: Sennen Kessen-hen - Soukoku-tan,BLEACH: Thousand-Year Blood War - The Conflict,2024-10-05,2024,FALL 2024,2,14.0,PIERROT FILMS,Action | Adventure | Supernatural,Shounen,TV,FINISHED,102490,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
しかのこのこのここしたんたん,Shikanoko Nokonoko Koshitantan,My Deer Friend Nokotan,2024-07-03,2024,SUMMER 2024,1,12.0,WIT STUDIO,Comedy | Fantasy | Slice of Life,Shounen,ONA,FINISHED,101736,67.0,67.0,2.0,5.0,3.0,1.0,3.0,2.8,False,0
シャングリラ・フロンティア 2nd season,Shangri-La Frontier 2nd Season,Shangri-La Frontier Season 2,2024-10-13,2024,FALL 2024,2,25.0,C2C,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,101221,82.0,82.0,0.0,9.0,1.0,0.0,0.0,2.0,False,0
诡秘之主,Guimi Zhi Zhu,Lord of Mysteries,2025-06-28,2025,,2,13.0,B.CMAY PICTURES,Action | Drama | Fantasy | Mystery | Supernatural | Thriller,Unknown,ONA,FINISHED,100722,84.0,85.0,7.0,9.0,9.0,6.0,10.0,8.2,False,0
